product-id,base-url,date,clouds
LC08_L1TP_231089_20190314_20190325_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190314_20190325_01_T1,2019-03-14,69.7
LC08_L1TP_231089_20190330_20190404_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190330_20190404_01_T1,2019-03-30,0.08
LC08_L1TP_231089_20190415_20190423_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190415_20190423_01_T1,2019-04-15,0.59
LC08_L1TP_231089_20190501_20190508_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190501_20190508_01_T1,2019-05-01,69.81
LC08_L1TP_231089_20190517_20190521_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190517_20190521_01_T1,2019-05-17,28.03
LC08_L1TP_231089_20190602_20190618_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190602_20190618_01_T1,2019-06-02,7.64
LC08_L1TP_231089_20190618_20190703_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190618_20190703_01_T1,2019-06-18,44.14
LC08_L1TP_231089_20190704_20190718_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190704_20190718_01_T1,2019-07-04,57.21
LC08_L1TP_231089_20190805_20190820_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190805_20190820_01_T1,2019-08-05,1.45
LC08_L1TP_231089_20190821_20190903_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190821_20190903_01_T1,2019-08-21,71.01
LC08_L1TP_231089_20190922_20190926_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20190922_20190926_01_T1,2019-09-22,5.61
LC08_L1TP_231089_20191008_20191018_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20191008_20191018_01_T1,2019-10-08,46.88
LC08_L1TP_231089_20191024_20191030_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20191024_20191030_01_T1,2019-10-24,68.03
LC08_L1TP_231089_20191109_20191115_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20191109_20191115_01_T1,2019-11-09,0.78
LC08_L1TP_231089_20191125_20191203_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20191125_20191203_01_T1,2019-11-25,48.38
LC08_L1TP_231089_20191211_20191217_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20191211_20191217_01_T1,2019-12-11,7.42
LC08_L1TP_231089_20191227_20200110_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20191227_20200110_01_T1,2019-12-27,49.7
LC08_L1TP_231089_20200112_20200127_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200112_20200127_01_T1,2020-01-12,0.34
LC08_L1TP_231089_20200128_20200210_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200128_20200210_01_T1,2020-01-28,26.26
LC08_L1TP_231089_20200213_20200225_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200213_20200225_01_T1,2020-02-13,0.54
LC08_L1TP_231089_20200229_20200313_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200229_20200313_01_T1,2020-02-29,0.14
LC08_L1TP_231089_20200316_20200326_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200316_20200326_01_T1,2020-03-16,7.09
LC08_L1TP_231089_20200401_20200410_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200401_20200410_01_T1,2020-04-01,0.04
LC08_L1TP_231089_20200417_20200423_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200417_20200423_01_T1,2020-04-17,55.16
LC08_L1TP_231089_20200503_20200509_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200503_20200509_01_T1,2020-05-03,48.5
LC08_L1TP_231089_20200620_20200707_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200620_20200707_01_T1,2020-06-20,65.84
LC08_L1TP_231089_20200706_20200721_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200706_20200721_01_T1,2020-07-06,3.68
LC08_L1TP_231089_20200807_20200821_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200807_20200821_01_T1,2020-08-07,28.62
LC08_L1TP_231089_20200823_20200905_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200823_20200905_01_T1,2020-08-23,12.38
LC08_L1TP_231089_20200924_20201006_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20200924_20201006_01_T1,2020-09-24,3.15
LC08_L1TP_231089_20201010_20201016_01_T1,gs://gcp-public-data-landsat/LC08/01/231/089/LC08_L1TP_231089_20201010_20201016_01_T1,2020-10-10,65.48
